name,phe
Reis Mehl,390
Reis Stärke,42
Reis Kleie,678
Getreidemischung Schrot,539
Getreideerzeugnisse roh,549
Getreideerzeugnisse Frühstückscerealien,549
Grits,437
Müsli,549
Früchte-Müsli,517
Schoko-Müsli,512
Cornflakes,430
Schoko-Reiscrispies,290
Nuss-Reiscrispies,260
Getreideflocken,712
Joghurt-Müsli,564
Joghurt-Schoko-Müsli,527
Joghurt-Früchte-Müsli,532
Polenta roh,113
Puffweizen,660
Puffreis,382
Schoko-Puffreis,406
Popcorn,631
Apfel-Zimt-Ringe,287
Schoko-Cornpops,295
Kokos-Cornpops,235
Cornpops,237
Weizenpops,363
Nuss-Weizenpops,383
Weizentaschen,441
Honig-Müsli,524
Schoko-Honig-Müsli,488
Karamell-Honig-Müsli,425
Früchte-Honig-Müsli,493
Tortillachips (Nachos),310
Hirse-Müsli glutenfrei,429
Malzprodukte,212
Biomalz,212
Kleber (Gluten),4050
Mehrkornflocken,473
Weizengluten Trockenprodukt,4050
Weizenglutenmischung Trockenprodukt,3612
Glutenfleisch (milchnass),631
Glutenfleisch (braun),1079
Reisnudeln,0
Mehlmischungen,430
Getreidepastete,244
Flädle Trockenprodukt,600
Grießklößchen Trockenprodukt,600
Grütze Konserve,479
Pikanter Reistopf energiereduziert,109
Gemüse-Reistopf energiereduziert,84
Feinbackwaren Torten Kuchen,140
Backerbsen,337
Salzgebäck,469
Kümmelstange,452
Zwieback,484
Nährzwieback,535
Eierzwieback,592
Schokozwieback,455
Kokoszwieback,378
Butterzwieback,529
Zwieback eifrei,520
Zwieback glutenfrei,392
Erdnussflips,532
Cracker,528
Käse-Cracker,723
Pizza-Cracker,557
Knabbergebäck,469
Salzstangen,469
Teigarten roh,357
"Ausbackteig, süß roh",362
Blätterteig roh,198
Brandmasse roh,289
Hefeteig roh,357
Hefeteig leicht roh,373
Hefeteig mittelschwer roh,357
Hefeteig schwer roh,324
Bierteig roh,382
Pizzateig roh,281
Biskuit eiweißarm glutenfrei natriumarm,13
Diabetikerbackwaren,984
Vollkornzwieback für Diabetiker,984
Sacherboden,383
Wienerboden,390
Biskuit-Roulade,396
Schokobiskuit leicht,489
Schokobiskuit schwer,450
Schoko-Roulade,484
Kombinationsgebäck,309
Zwiebelkuchen,309
Obstkuchen aus Rührmasse,171
Obstkuchen aus Rührmasse (ohne Flüssigkeit zubereitet),170
Apfelkuchen aus Rührmasse,171
Spiegeleierkuchen aus Rührmasse,145
Obstkuchen aus Hefeteig energiereduziert,158
Obstkuchen aus Hefeteig energiereduziert (mit Wasser zubereitet),140
Apfelkuchen aus Hefeteig energiereduziert,158
Blaubeerkuchen aus Hefeteig energiereduziert,263
Obstkuchen aus Hefeteig fettreich,294
Obstkuchen aus Quarkölteig,496
Obstkuchen aus Mürbeteig fettreich,140
Apfel-Streuselkuchen aus Mürbeteig fettreich,94
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 3,5 % Fett zubereitet)",99
"Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Milch 1,5% Fett zubereitet)",98
Apfel-Streuselkuchen aus Mürbeteig fettreich (mit Buttermilch zubereitet),100
Obsttorten,85
Quark-Apfel-Torte,352
Obsttorten aus Rührmasse,151
Obsttorte aus Rührmasse,151
Obsttorte aus Sandmasse,123
Obsttorten aus Mürbeteig fettreich,95
Kirschtorte aus Mürbeteig fettreich,234
Obsttörtchen aus Mürbeteig fettreich,95
Mohn-Apfeltorte aus Mürbeteig fettreich,248
Mohn-Apfeltorte aus Mürbeteig fettreich (ohne Flüssigkeit zubereitet),253
Torten,228
Cremetorte,285
Sachertorte,337
Käsesahnetorte,221
Nusssahnetorte,349
Linzertorte,415
Schwarzwälder Kirschtorte,228
Marzipantorte,317
"Sachertorte (mit Milch 1,5% Fett zubereitet)",302
"Nusssahnetorte (mit Milch 1,5% Fett zubereitet)",273
Französische Schokoladentorte,404
Makronentorte,475
Baisertorte,153
Charlotte Torte (Mokka),289
Holländer Kirschsahne-Torte/-Schnitten,129
Flockensahne,176
Herrentorte,289
Torte aus Biskuitmasse,279
Cremetorte aus Biskuitmasse,285
Käsetorte aus Biskuitmasse,221
Käsesahnetorte aus Biskuitmasse,221
Biskuitrolle,258
Buttercremetorte aus Biskuitmasse,285
Aprikosen-Sahne-Torte aus Biskuitmasse,138
Biskuitrollenbombe,154
Zuger Kirschtorte aus Biskuitmasse,256
Buchweizenmehl-Torte aus Biskuitmasse,220
Karotten-Nuss-Torte aus Biskuitmasse,357
Mokka-Sahne-Torte aus Biskuitmasse,251
Trüffel-Torte aus Biskuitmasse,283
Festliche Mokkacreme-Torte aus Biskuitmasse,292
Erdbeer-Sahne-Torte aus Biskuitmasse,212
Schokoladen-Sahne-Torte aus Biskuitmasse,270
