name,phe,keyword
Jambuse Fruchtnektar,6,kirsche
Jambuse Konfitüre,8,kirsche
Akee,189,kirsche
Akee roh,189,kirsche
Akee Konzentrat,448,kirsche
Akee Fruchtsaft,180,organic-food
Akee Fruchtnektar,45,kirsche
Akee Konfitüre,70,kirsche
Rambutan roh,38,organic-food
Carissa,16,kirsche
Carissa roh,16,kirsche
Carissa Konzentrat,62,organic-food
Carissa Fruchtsaft,15,organic-food
Carissa Fruchtnektar,4,kirsche
Carissa Konfitüre,6,kirsche
Durian,103,durian
Durian roh,103,durian
Durian Konzentrat,224,durian
Durian Fruchtsaft,99,durian
Durian Fruchtnektar,25,durian
Durian Konfitüre,38,durian
Feijoa,38,organic-food
Feijoa roh,38,kirsche
Mangostane,23,mango
Mangostane roh,23,mango
Mangostane Konzentrat,99,mango
Mangostane Fruchtsaft,21,mango
Mangostane Fruchtnektar,5,mango
Mangostane Konfitüre,8,mango
Guave klein,2,kirsche
Guave klein roh,2,kirsche
Guave klein Konzentrat,11,kirsche
Guave klein Fruchtsaft,2,organic-food
Guave klein Fruchtnektar,1,kirsche
Guave klein Konfitüre,1,kirsche
Tamarillo,65,kirsche
Tamarillo roh,65,kirsche
Tamarillo Konzentrat,331,organic-food
Tamarillo Fruchtsaft,59,organic-food
Tamarillo Fruchtnektar,15,organic-food
Tamarillo Konfitüre,24,kirsche
Purpurgrenadilla,83,organic-food
Purpurgrenadilla roh,83,organic-food
Purpurgrenadilla Konzentrat,247,organic-food
Purpurgrenadilla Fruchtsaft,77,organic-food
Purpurgrenadilla Fruchtnektar,19,organic-food
Purpurgrenadilla Konfitüre,31,kirsche
Jabotikaba,20,organic-food
Jabotikaba roh,20,kirsche
Jabotikaba Konzentrat,89,kirsche
Jabotikaba Fruchtsaft,19,organic-food
Jabotikaba Fruchtnektar,5,kirsche
Jabotikaba Konfitüre,7,kirsche
Sternfrucht roh,47,kirsche
Banane Pulpe,44,banane
Zitrusfrüchte,27,citrus
Zitrusfrüchte roh,27,citrus
