name,phe
Vollkornbrote,344
Vollkornbrot,344
Vollkornbrot-Vollkornschrotbrot,264
Vollkornbrot-Weizenvollkornbrot,360
Vollkornbrot-Roggenvollkornbrot,370
Vollkornbrot-Roggenvollkornschrotbrot,264
Vollkornbrot-Hafervollkornbrot,338
Vollkornbrot-Gerstenvollkornbrot,340
Vollkornbrot-Weizenvollkornmischbrot,347
Vollkornbrot-Weizenvollkornmischschrotbrot,355
Vollkornbrot-Weizen/Roggenvollkornbrot,347
Vollkornbrot-Weizen/Roggenvollkornschrotbrot,355
Vollkornbrot-Weizen/Roggenvollkornschrottoastbrot,395
Vollkornbrot-Roggenvollkornmischbrot,336
Vollkornbrot-Roggenvollkornmischschrotbrot,338
Vollkornbrot-Roggenvollkornschrottoastbrot,336
Vollkornbrot-Roggen/Weizenvollkornbrot,336
Vollkornbrot-Roggen/Weizenvollkornschrotbrot,338
Vollkornbrot-Mehrkornvollkornbrot,326
Graubrote,366
Graubrot,366
Graubrot-Toastbrot,320
Körnerbrot glutenfrei,233
Graubrot-Roggenbrot,350
Graubrot-Roggentoastbrot,346
Graubrot-Haferbrot,374
Graubrot-Gerstenbrot,347
Graubrot-Weizenmischbrot,350
Graubrot-Weizenmischtoastbrot,413
Graubrot-Roggenmischbrot,350
Graubrot-Roggenmischtoastbrot,320
Graubrot-Mehrkornbrot,388
Weißbrote,394
Weißbrot-Toastbrot,411
Weißbrot glutenfrei,65
Weißbrot-Weizenbrot,420
Weißbrot-Weizentoastbrot,410
Vollkornbrötchen,383
Vollkornbrötchen-Weizenvollkornbrötchen,383
Vollkornbrötchen-Roggenvollkornbrötchen,320
Vollkornbrötchen-Weizenvollkornmischbrötchen,396
Vollkornbrötchen-Weizen/Roggenvollkornbrötchen,396
Vollkornbrötchen-Roggenvollkornmischbrötchen,383
Vollkornbrötchen-Roggen/Weizenvollkornbrötchen,383
Vollkornbrötchen-Dinkelvollkornbrötchen,535
Brötchen,496
Brötchen Schokobrötchen,416
Brötchen-Weizenbrötchen,490
Brötchen-Roggenbrötchen,511
Brötchen-Haferbrötchen,395
Brötchen-Gerstenbrötchen,367
Brötchen-Weizenmischbrötchen,440
Brötchen Dinkelbrötchen,483
Brötchen-Roggenmischbrötchen,384
Brötchen-Mehrkornbrötchen,406
Knäckebrote,439
Knäckebrot,450
Knäckebrot-Weizenbrot,581
Knäckebrot-Roggenbrot,422
Knusperbrot glutenfrei,489
Knäckebrot-Weizenmischbrot,631
Knäckebrot-Roggenmischbrot,545
Knäckebrot-Mehrkornbrot,541
Grünkernbrot,398
Grünkernbrötchen,418
Kartoffelbrot,382
Dinkelbrot,500
Lebensmittel eiweißarm und glutenfrei,61
Lebensmittel eiweißarm glutenfrei und natriumarm,38
Toastbrot eiweißarm glutenfrei natriumarm,38
Waffel-Maisbrot glutenfrei,212
Hirsebrot glutenfrei,219
Kastanienbrot glutenfrei,77
Rosinenbrot glutenfrei,57
Buchweizenvollkornbrot,335
Buchweizenbrot,346
Buchweizenbrötchen,364
Sojabrot,2049
Laugengebäck,482
Laugenbrezel (mit Salz),435
Laugenbrezel (sichtbares Salz entfernt),438
Hirsevollkornbrot,338
Hirsebrot,350
Hirsebrötchen,368
Maisvollkornbrot,343
Maisbrot,381
Maisbrötchen,401
Mais-Fladenbrot,243
Mais-Vollkornfladenbrot,303
Reisvollkornbrot,332
Reisbrot,382
Reisbrötchen,402
Brote/Brötchen aus besonderen Mahlerzeugnissen,344
Schlüterbrot,344
Steinmetzbrot,294
Simonsbrot,344
Loosbrot,344
Grahambrot,680
Grahambrötchen,373
Kommißbrot,366
Brote/Brötchen - besondere Backverfahren,366
Holzofenbrot,366
Steinofenbrot,366
Dampfkammerbrot,366
Gersterbrot,366
Pumpernickel,228
Knäckebrot leicht & cross,631
Baguette,496
Baguette-Brötchen,496
Fladenbrote,394
Weizenfladenbrot,394
Roggenfladenbrot,263
Tortilla aus Weizenmehl,470
Paniermehl,470
Paniermehl glutenfrei,330
Semmelbrösel,470
Backmischung für Zwiebelbrot,527
Backmischung für Maisbrot,553
Getreide roh,532
Getreide Grieß,479
Weizen roh,532
Weizen Vollkorn roh,640
Weizen Flocken,532
Weizen Vollkornflocken,532
Weizen Keim,1180
Weizen Keimflocken,1072
Weizen Grieß,479
Weizen Grütze,479
Quinoa roh,530
Couscous roh,544
Roggen roh,440
Roggen Vollkorn roh,470
Roggen Flocken,422
Roggen Keim,1830
Roggen Keimflocken,1830
Roggen Grieß,422
Getreidemischungen,473
Hafer roh,538
Hafer ganzes Korn roh,605
Hafer Flocken,780
Hafer Vollkornflocken,712
Hafer Grieß,818
Hafer Grütze,868
Haferkleieflocken,712
Gerste roh,583
Gerste Vollkorn roh,602
Gerste Flocken,466
Gerste Vollkornflocken,466
Gerste Grieß,466
Gerste Grütze,450
Gerste Graupen,490
Gerste Perlgraupen,508
Mehl,484
Vollkornmehl,530
Schrot Type 1700,562
Weizen Mehl,484
Weizen Vollkornmehl,530
Weizen Backschrot Type 1700,590
Weizen Mehl (Type 650-1800),628
Weizen Mehl Type 812,670
Weizen Mehl Type 1050,630
Weizen Mehl Type 1200,552
Weizen Mehl Type 1600,614
Weizen Mehl Type 1700,550
Weizen Mehl Type <650,484
Weizen Mehl Type 405,550
Weizen Mehl Type 550,540
Weizen Mehl Type 630,600
Weizen Grießmehl,498
Weizen Stärke,21
Weizen Kleie,650
Roggen Mehl,316
Roggen Vollkornmehl,446
Roggen Schrot Type 1800,510
Roggen Mehl (Type 650-1800),316
