name;phe;emoji
Wildfleisch, Ziege, gekocht, gebraten;941;🍖
Wildfleisch, Ziege, roh;715;🐐
Wildfleisch, Wildschwein, Wild, roh;86;🍖
Wildfleisch, Biber, gekocht, gebraten;1417;🍖
Wildfleisch, Büffel, Wasser, roh;817;🍖
Wildfleisch, Elch, roh;91;🍖
Wildfleisch, Wildschwein, Wild, gekocht, gebraten;1132;🍖
Wildfleisch, Büffel, Wasser, gekocht, gebraten;1075;🍖
Wildfleisch, Elch, gekocht, gebraten;1198;🍖
Wildfleisch, Biber, roh;977;🍖
Wildfleisch, Antilope, roh;886;🦌
Kalbfleisch, Roastbeef, trennbar mager und fett, gekocht, gebraten;1015;🌱
Kalbfleisch, gemahlen, roh;749;🍖
Kalbfleisch, gewürfelt für Eintopf (Keule und Schulter), nur mager trennbar, gekocht, geschmort;141;🌱
Kalbfleisch, gemahlen, gekocht, gebraten;984;🍖
Bison, gemahlen, grasgefüttert, roh;859;🍔
Kalbfleisch, Roastbeef, trennbar mager und fett, roh;769;🌱
Kalb, Schulter, Blatt, trennbar nur mager, gekocht, gebraten;1035;🌱
Kalb, Schulter, Arm, mager und fett trennbar, gekocht, gebraten;1028;🌱
Kalb, Schulter, Arm, trennbar nur mager, roh;809;🌱
Kalbfleisch, Roastbeef, mager und fett trennbar, gekocht, geschmort;1262;🌱
Kalb, Schulter, Arm, trennbar nur mager, gekocht, geschmort;1442;🌱
Kalb, Schulter, Arm, trennbar nur mager, gekocht, gebraten;1055;🌱
Kalb, Schulter, ganz (Arm und Blatt), trennbar nur mager, roh;799;🌱
Kalb, Schulter, ganz (Arm und Blatt), trennbar mager und fett, gekocht, geschmort;1294;🌱
Kalb, Schulter, ganz (Arm und Blatt), trennbar mager und fett, roh;778;🌱
Kalb, Rippe, mager und fett trennbar, roh;761;🌱
Kalb, Schulter, ganz (Arm und Blatt), trennbar mager und fett, gekocht, gebraten;1022;🌱
Kalb, Rippe, mager und fett trennbar, gekocht, geschmort;1309;🌱
Kalb, Lende, trennbar nur mager, gekocht, gebraten;1062;🌱
Kalb, Keule (obere Runde), trennbar nur mager, gekocht, geschmort;1481;🌱
Kalb, Keule (oben rund), trennbar nur mager, gekocht, gebraten, paniert;1174;🌱
Kalbfleisch, Keule (oben rund), nur mager trennbar, gekocht, gebraten, nicht paniert;1339;🌱
Kalb, Lende, trennbar nur mager, gekocht, geschmort;1355;🌱
Kalb, Keule (obere Runde), mager und fett trennbar, roh;847;🌱
Lamm, Neuseeland, importiert, quadratisch geschnittene Schulter, nur mager trennbar, roh;777;🌱
Kalbfleisch, Zusammensetzung aus getrimmten Teilstücken, trennbares Fett, gekocht;38;🌱
Lamm, Neuseeland, importiert, gefroren, Schulter, ganz (Arm und Blatt), trennbar mager und fett, gekocht, geschmort;1148;🌱
Kalbfleisch, zusammengesetzt aus getrimmten Teilstücken, trennbares Fett, roh;243;🌱
Kalbfleisch, zusammengesetzt aus getrimmten Einzelhandelsstücken, nur mager trennbar, gekocht;1287;🌱
Kalbfleisch, Keule (obere Runde), trennbar nur mager, roh;859;🌱
Lamm, Neuseeland, importiert, gefroren, Lende, trennbar mager und fett, gekocht, gebraten;954;🌱
Lamm, Neuseeland, importiert, Rack - teilweise franziert, trennbar nur mager, gekocht, schnell gebraten;962;🌱
Erdnüsse, alle Sorten, in Öl geröstet, ohne Salz;1427;🌱
Lamm, Neuseeland, importiert, quadratisch geschnittene Schulter, mager und fett trennbar, roh;636;🌱
Lamm, Neuseeland, importiert, Rack - teilweise französisch, trennbar nur mager, roh;813;🌱
Kuherbsen, gemein (Schwarzaugen, Crowder, Southern), reife Samen, gekocht, gekocht, mit Salz;451;🌱
Hyazinthenbohnen, reife Samen, gekocht, gekocht, mit Salz;41;🌱
Erbsen, gespaltene, reife Samen, gekocht, gekocht, mit Salz;384;🌱
Mungobohnen, reife Samen, gekocht, gekocht, mit Salz;44;🍲
Mungobohnen, reife Samen, gekocht, gekocht, mit Salz;425;🍲
Kuherbsen, Catjang, reife Samen, gekocht, gekocht, mit Salz;475;🍲
Linsen, reife Samen, gekocht, gekocht, mit Salz;445;🌱
Bohnen, Pinto, reife Samen, Konserven, Feststoffe und Flüssigkeiten, natriumarm;237;🌱
Kichererbsen (Kicherbohnen, Bengal-Gramm), reife Samen, Dosen, Feststoffe und Flüssigkeiten, natriumarm;265;🌱
Bohnen, gelbe, reife Samen, gekocht, gekocht, mit Salz;496;🍯
Bohnen, kleine weiße, reife Samen, gekocht, gekocht, mit Salz;485;🌱
Bohnen, Niere, rot, reife Samen, Dosen, Feststoffe und Flüssigkeit, natriumarm;317;🌱
Bohnen, weiß, reife Samen, gekocht, gekocht, mit Salz;526;🍚
Bohnen, Kidneybohnen, rote, reife Samen, Konserven, abgetropfte Feststoffe, mit Leitungswasser gespült;479;🌱
Bohnen, Niere, rot, reife Samen, gekocht, gekocht, mit Salz;469;🍲
Bohnen, schwarze Schildkröte, reife Samen, gekocht, gekocht, mit Salz;442;🍲
Bohnen, Cranberry (römisch), reife Samen, gekocht, gekocht, mit Salz;505;🌱
Bohnen, französische, reife Samen, gekocht, gekocht, mit Salz;381;🍲
Bohnen, Niere, Königsrot, reife Samen, gekocht, mit Salz gekocht;513;🍲
Bohnen, schwarz, reife Samen, in Dosen, natriumarm;356;🌱
Bohnen, schwarze, reife Samen, gekocht, gekocht, mit Salz;479;🍽
Hyazinthenbohnen, reife Samen, gekocht, gekocht, ohne Salz;41;🌱
Kuherbsen, Catjang, reife Samen, gekocht, gekocht, ohne Salz;475;🍲
Hyazinthenbohnen, reife Samen, roh;1204;🌱
Kichererbsen (Kicherbohnen, Bengal-Gramm), reife Samen, Konserven, Feststoffe und Flüssigkeiten;265;🌱
Chili mit Bohnen, Konserve;292;🌶
Bohnen, weiß, reife Samen, Konserve;392;🍚
Cowpeas, Catjang, reife Samen, roh;1393;🍛
Bohnen, weiß, reife Samen, gekocht, gekocht, ohne Salz;526;🍚
Ackerbohnen (Ackerbohnen), reife Samen, roh;1103;🌱
Bohnen, weiß, reife Samen, roh;1263;🌱
Bohnen, Pinto, reife Samen, gekocht, gekocht, ohne Salz;531;🍲
Bohnen, Pinto, reife Samen, roh (umfasst Lebensmittel für das Food Distribution Program des USDA);1095;🌱
Bohnen, Pinto, reife Samen, Konserven, Feststoffe und Flüssigkeiten;237;🍽
Bohnen, rosa, reife Samen, gekocht, gekocht, ohne Salz;49;🌱
Bohnen, Niere, Königsrot, reife Samen, gekocht, gekocht, ohne Salz;513;🍲
Bohnen, große nördliche, reife Samen, gekocht, gekocht, ohne Salz;451;🍚
Bohnen, große nördliche, reife Samen, in Dosen;435;🍽
