name;phe;emoji
Carne de caza, cabra, cocida, asada;941;🍖
Carne de caza, cabra, cruda;715;🐐
Carne de caza, jabalí, salvaje, cruda;86;🍖
Carne de caza, castor, cocida, asada;1417;🍖
Carne de caza, búfalo, agua, cruda;817;🍖
Carne de caza, alce, cruda;91;🍖
Carne de caza, jabalí, salvaje, cocida, asada;1132;🍖
Carne de caza, búfalo, agua, cocida, asada;1075;🍖
Carne de caza, alce, cocida, asada;1198;🍖
Carne de caza, castor, cruda;977;🍖
Carne de caza, antílope, cruda;886;🦌
Ternera, solomillo, magro y grasa separable, cocido, asado;1015;🌱
Ternera, molida, cruda;749;🍖
Ternera, en cubos para estofado (pierna y paletilla), solo magro separable, cocido, estofado;141;🌱
Ternera, molida, cocida, asada;984;🍖
Bisonte, molido, alimentado con pasto, crudo;859;🍔
Ternera, solomillo, magra y grasa separable, cruda;769;🌱
Ternera, paleta, paleta, solo magro separable, cocido, asado;1035;🌱
Ternera, paletilla, brazo, magra y grasa separable, cocida, asada;1028;🌱
Ternera, hombro, brazo, solo magro separable, crudo;809;🌱
Ternera, solomillo, magro y grasa separable, cocido, estofado;1262;🌱
Ternera, hombro, brazo, solo magro separable, cocido, estofado;1442;🌱
Ternera, hombro, brazo, solo magro separable, cocido, asado;1055;🌱
Ternera, paletilla, entera (brazo y paleta), solo magro separable, cruda;799;🌱
Ternera, paletilla, entera (brazo y paleta), magra y grasa separable, cocida, estofada;1294;🌱
Ternera, paletilla, entera (brazo y paleta), magra y grasa separable, cruda;778;🌱
Ternera, costilla, magra y grasa separable, cruda;761;🌱
Ternera, paletilla, entera (brazo y paleta), magra y grasa separable, cocida, asada;1022;🌱
Ternera, costilla, magra y grasa separable, cocida, estofada;1309;🌱
Ternera, lomo, solo magro separable, cocido, asado;1062;🌱
Pierna de ternera (parte superior), solo magra separable, cocida, estofada;1481;🌱
Ternera, pierna (parte superior), solo magra separable, cocinada, frita, empanada;1174;🌱
Pierna de ternera (parte superior), solo magra separable, cocinada, frita, sin empanar;1339;🌱
Ternera, lomo, solo magro separable, cocido, estofado;1355;🌱
Ternera, muslo (redondo superior), magra y grasa separable, cruda;847;🌱
Cordero, Nueva Zelanda, importado, paletilla de corte cuadrado, solo magra separable, cruda;777;🌱
Ternera, compuesto de cortes al por menor recortados, grasa separable, cocido;38;🌱
Cordero, Nueva Zelanda, importado, congelado, paletilla, entero (brazo y paleta), magra y grasa separable, cocido, estofado;1148;🌱
Ternera, compuesto de cortes al por menor recortados, grasa separable, crudo;243;🌱
Ternera, compuesto de cortes al por menor recortados, solo magro separable, cocido;1287;🌱
Ternera, pierna (parte superior), solo magro separable, cruda;859;🌱
Cordero, Nueva Zelanda, importado, congelado, lomo, magra y grasa separable, cocido, asado;954;🌱
Cordero, Nueva Zelanda, importado, costillar - parcialmente a la francesa, solo magro separable, cocido, asado rápido;962;🌱
Cacahuetes, de todos los tipos, tostados en aceite, sin sal;1427;🌱
Cordero, Nueva Zelanda, importado, paleta de corte cuadrado, magra y grasa separable, cruda;636;🌱
Cordero, Nueva Zelanda, importado, costillar - parcialmente frito, solo magro separable, crudo;813;🌱
