name;phe;emoji
Viande de gibier, chèvre, cuite, rôtie;941;🍖
Viande de gibier, chèvre, crue;715;🐐
Viande de gibier, sanglier, sauvage, cru;86;🍖
Viande de gibier, castor, cuit, rôti;1417;🍖
Viande de gibier, buffle, eau, crue;817;🍖
Viande de gibier, wapiti, cru;91;🍖
Viande de gibier, sanglier, sauvage, cuit, rôti;1132;🍖
Viande de gibier, buffle, eau, cuite, rôtie;1075;🍖
Viande de gibier, wapiti, cuit, rôti;1198;🍖
Viande de gibier, castor, cru;977;🍖
Viande de gibier, antilope, crue;886;🦌
Veau, surlonge, maigre et gras séparable, cuit, rôti;1015;🌱
Veau, haché, cru;749;🍖
Veau, coupé en cubes pour ragoût (jambe et épaule), maigre séparable seulement, cuit, braisé;141;🌱
Veau, haché, cuit, grillé;984;🍖
Bison, moulu, nourri à l'herbe, cru;859;🍔
Veau, surlonge, maigre et gras séparable, cru;769;🌱
Veau, épaule, palette, maigre séparable seulement, cuit, rôti;1035;🌱
Veau, épaule, bras, maigre et gras séparable, cuit, rôti;1028;🌱
Veau, épaule, bras, maigre séparable seulement, cru;809;🌱
Veau, surlonge, maigre et gras séparable, cuit, braisé;1262;🌱
Veau, épaule, bras, maigre séparable seulement, cuit, braisé;1442;🌱
Veau, épaule, bras, maigre séparable seulement, cuit, rôti;1055;🌱
Veau, épaule, entier (bras et omoplate), maigre séparable seulement, cru;799;🌱
Veau, épaule, entier (bras et lame), maigre et gras séparable, cuit, braisé;1294;🌱
Veau, épaule, entier (bras et omoplate), maigre et gras séparable, cru;778;🌱
Veau, côte, maigre et gras séparable, cru;761;🌱
Veau, épaule, entier (bras et lame), maigre et gras séparable, cuit, rôti;1022;🌱
Veau, côte, maigre et gras séparable, cuit, braisé;1309;🌱
Veau, longe, maigre séparable seulement, cuit, rôti;1062;🌱
Veau, gigot (haut de ronde), maigre séparable seulement, cuit, braisé;1481;🌱
Veau, gigot (haut de ronde), maigre séparable uniquement, cuit, poêlé, pané;1174;🌱
Veau, gigot (haut de ronde), maigre séparable uniquement, cuit, poêlé, non pané;1339;🌱
Veau, longe, maigre séparable seulement, cuit, braisé;1355;🌱
Veau, gigot (haut de ronde), maigre et gras séparable, cru;847;🌱
Agneau, Nouvelle-Zélande, importé, épaule carrée, maigre séparable seulement, cru;777;🌱
Veau, composé de morceaux de détail parés, gras séparable, cuit;38;🌱
Agneau, Nouvelle-Zélande, importé, congelé, épaule, entier (bras et lame), maigre et gras séparable, cuit, braisé;1148;🌱
Veau, composé de coupes de détail parées, gras séparable, cru;243;🌱
Veau, composé de coupes de détail parées, maigre séparable seulement, cuit;1287;🌱
Veau, gigot (haut de ronde), maigre séparable seulement, cru;859;🌱
Agneau, Nouvelle-Zélande, importé, congelé, longe, maigre et gras séparable, cuit, grillé;954;🌱
Agneau, Nouvelle-Zélande, importé, carré - partiellement français, maigre séparable seulement, cuit, rôti rapidement;962;🌱
Cacahuètes, de tous types, grillées à l'huile, sans sel;1427;🌱
Agneau, Nouvelle-Zélande, importé, épaule carrée, maigre et gras séparable, cru;636;🌱
Agneau, Nouvelle-Zélande, importé, carré - partiellement français, maigre séparable seulement, cru;813;🌱
Niébé, commun (blackeyes, crowder, south), graines mûres, cuites, bouillies, avec du sel;451;🌱
Haricots jacinthes, graines mûres, cuites, bouillies, avec du sel;41;🌱
Pois, cassés, graines mûres, cuits, bouillis, avec du sel;384;🌱
Haricots mungo, graines mûres, cuites, bouillies, avec du sel;44;🍲
Haricots mungo, graines mûres, cuites, bouillies, avec du sel;425;🍲
Niébé, catjang, graines mûres, cuites, bouillies, avec du sel;475;🍲
Lentilles, graines mûres, cuites, bouillies, avec du sel;445;🌱
Haricots, pinto, graines mûres, en conserve, solides et liquides, faible teneur en sodium;237;🌱
Pois chiches (haricots garbanzo, gramme bengal), graines mûres, en conserve, solides et liquides, faible teneur en sodium;265;🌱
Haricots, jaunes, graines mûres, cuites, bouillies, avec du sel;496;🍯
Haricots, petites graines blanches, mûres, cuites, bouillies, avec du sel;485;🌱
Haricots rouges, rouges, graines mûres, en conserve, solides et liquides, faible teneur en sodium;317;🌱
Haricots blancs, graines mûres, cuites, bouillies, avec du sel;526;🍚
Haricots, rognons, rouges, graines mûres, en conserve, solides égouttés, rincés à l'eau du robinet;479;🌱
Haricots, rognons, rouges, graines mûres, cuites, bouillies, avec du sel;469;🍲
Haricots, tortue noire, graines mûres, cuites, bouillies, avec du sel;442;🍲
Haricots, canneberge (romaine), graines mûres, cuites, bouillies, avec du sel;505;🌱
Haricots, français, graines mûres, cuits, bouillis, avec du sel;381;🍲
Haricots, rognons, rouge royal, graines mûres, cuites, bouillies avec du sel;513;🍲
Haricots, noirs, graines mûres, en conserve, à faible teneur en sodium;356;🌱
Haricots, noirs, graines mûres, cuits, bouillis, avec du sel;479;🍽
Haricots jacinthes, graines mûres, cuites, bouillies, sans sel;41;🌱
Niébé, catjang, graines mûres, cuites, bouillies, sans sel;475;🍲
Haricots jacinthes, graines mûres, crues;1204;🌱
Pois chiches (haricots garbanzo, gramme bengal), graines mûres, en conserve, solides et liquides;265;🌱
Chili aux haricots, en conserve;292;🌶
Haricots blancs, graines mûres, en conserve;392;🍚
Niébé, catjang, graines mûres, crues;1393;🍛
Haricots blancs, graines mûres, cuites, bouillies, sans sel;526;🍚
Fèves (fèves), graines mûres, crues;1103;🌱
Haricots blancs, graines mûres, crues;1263;🌱
Haricots, pinto, graines mûres, cuites, bouillies, sans sel;531;🍲
Haricots, pinto, graines mûres, crues (comprend les aliments pour le programme de distribution alimentaire de l'USDA);1095;🌱
Haricots, pinto, graines mûres, en conserve, solides et liquides;237;🍽
Haricots, roses, graines mûres, cuites, bouillies, sans sel;49;🌱
Haricots, rognons, rouge royal, graines mûres, cuites, bouillies, sans sel;513;🍲
Haricots, Great Northern, graines mûres, cuites, bouillies, sans sel;451;🍚
Haricots, Great Northern, graines mûres, en conserve;435;🍽
Haricots, rognons, rouges, graines mûres, cuites, bouillies, sans sel;469;🍲
Haricots rouges, rouges, graines mûres, en conserve, solides et liquides;317;🍲
Haricots, rein, rouge royal, graines mûres, crues;137;🌱
Haricots, rognons, tous types, graines mûres, crues;1275;🌱
Haricots, cuits au four, en conserve, avec du porc;285;🥓
Haricots, tortue noire, graines mûres, crues;1149;🌱
Haricots, Great Northern, graines mûres, crues (comprend les aliments pour le programme de distribution alimentaire de l'USDA);1182;🌱
Haricots, tortue noire, graines mûres, en conserve;356;🍽
