name,phe,icon
"Game meat, goat, cooked, roasted",941,🍖
"Game meat, goat, raw",715,🐐
"Game meat, boar, wild, raw",86,🍖
"Game meat, beaver, cooked, roasted",1417,🍖
"Game meat, buffalo, water, raw",817,🍖
"Game meat, elk, raw",91,🍖
"Game meat, boar, wild, cooked, roasted",1132,🍖
"Game meat, buffalo, water, cooked, roasted",1075,🍖
"Game meat, elk, cooked, roasted",1198,🍖
"Game meat, beaver, raw",977,🍖
"Game meat, antelope, raw",886,🦌
"Veal, sirloin, separable lean and fat, cooked, roasted",1015,🌱
"Veal, ground, raw",749,🍖
"Veal, cubed for stew (leg and shoulder), separable lean only, cooked, braised",141,🌱
"Veal, ground, cooked, broiled",984,🍖
"Bison, ground, grass-fed, raw",859,🍔
"Veal, sirloin, separable lean and fat, raw",769,🌱
"Veal, shoulder, blade, separable lean only, cooked, roasted",1035,🌱
"Veal, shoulder, arm, separable lean and fat, cooked, roasted",1028,🌱
"Veal, shoulder, arm, separable lean only, raw",809,🌱
"Veal, sirloin, separable lean and fat, cooked, braised",1262,🌱
"Veal, shoulder, arm, separable lean only, cooked, braised",1442,🌱
"Veal, shoulder, arm, separable lean only, cooked, roasted",1055,🌱
"Veal, shoulder, whole (arm and blade), separable lean only, raw",799,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",1294,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",778,🌱
"Veal, rib, separable lean and fat, raw",761,🌱
"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, roasted",1022,🌱
"Veal, rib, separable lean and fat, cooked, braised",1309,🌱
"Veal, loin, separable lean only, cooked, roasted",1062,🌱
"Veal, leg (top round), separable lean only, cooked, braised",1481,🌱
"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",1174,🌱
"Veal, leg (top round), separable lean only, cooked, pan-fried, not breaded",1339,🌱
"Veal, loin, separable lean only, cooked, braised",1355,🌱
"Veal, leg (top round), separable lean and fat, raw",847,🌱
"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",777,🌱
"Veal, composite of trimmed retail cuts, separable fat, cooked",38,🌱
"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",1148,🌱
"Veal, composite of trimmed retail cuts, separable fat, raw",243,🌱
"Veal, composite of trimmed retail cuts, separable lean only, cooked",1287,🌱
"Veal, leg (top round), separable lean only, raw",859,🌱
"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",954,🌱
"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",962,🌱
"Peanuts, all types, oil-roasted, without salt",1427,🌱
"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",636,🌱
"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",813,🌱
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",451,🌱
"Hyacinth beans, mature seeds, cooked, boiled, with salt",41,🌱
"Peas, split, mature seeds, cooked, boiled, with salt",384,🌱
"Mungo beans, mature seeds, cooked, boiled, with salt",44,🍲
"Mung beans, mature seeds, cooked, boiled, with salt",425,🍲
"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",475,🍲
"Lentils, mature seeds, cooked, boiled, with salt",445,🌱
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",237,🌱
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",265,🌱
"Beans, yellow, mature seeds, cooked, boiled, with salt",496,🍯
"Beans, small white, mature seeds, cooked, boiled, with salt",485,🌱
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",317,🌱
"Beans, white, mature seeds, cooked, boiled, with salt",526,🍚
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",479,🌱
"Beans, kidney, red, mature seeds, cooked, boiled, with salt",469,🍲
"Beans, black turtle, mature seeds, cooked, boiled, with salt",442,🍲
"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",505,🌱
"Beans, french, mature seeds, cooked, boiled, with salt",381,🍲
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",513,🍲
"Beans, black, mature seeds, canned, low sodium",356,🌱
"Beans, black, mature seeds, cooked, boiled, with salt",479,🍽
"Hyacinth beans, mature seeds, cooked, boiled, without salt",41,🌱
"Cowpeas, catjang, mature seeds, cooked, boiled, without salt",475,🍲
"Hyacinth beans, mature seeds, raw",1204,🌱
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids",265,🌱
"Chili with beans, canned",292,🌶
"Beans, white, mature seeds, canned",392,🍚
"Cowpeas, catjang, mature seeds, raw",1393,🍛
"Beans, white, mature seeds, cooked, boiled, without salt",526,🍚
"Broadbeans (fava beans), mature seeds, raw",1103,🌱
"Beans, white, mature seeds, raw",1263,🌱
"Beans, pinto, mature seeds, cooked, boiled, without salt",531,🍲
"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1095,🌱
"Beans, pinto, mature seeds, canned, solids and liquids",237,🍽
"Beans, pink, mature seeds, cooked, boiled, without salt",49,🌱
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",513,🍲
"Beans, great northern, mature seeds, cooked, boiled, without salt",451,🍚
"Beans, great northern, mature seeds, canned",435,🍽
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",469,🍲
"Beans, kidney, red, mature seeds, canned, solids and liquids",317,🍲
"Beans, kidney, royal red, mature seeds, raw",137,🌱
"Beans, kidney, all types, mature seeds, raw",1275,🌱
"Beans, baked, canned, with pork",285,🥓
"Beans, black turtle, mature seeds, raw",1149,🌱
"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",1182,🌱
"Beans, black turtle, mature seeds, canned",356,🍽
"Beans, black turtle, mature seeds, cooked, boiled, without salt",442,🌱
"Beans, cranberry (roman), mature seeds, raw",1245,🌱
"Beans, baked, canned, plain or vegetarian",267,🍽
"Beans, baked, canned, with franks",349,🌭
"Beans, baked, canned, with beef",329,🍔
"Fish, tilapia, raw",81,🐟
"Fish, salmon, pink, canned, drained solids",951,🐟
"Salmon, sockeye, canned, total can contents",877,🌱
"Fish, tilapia, cooked, dry heat",105,🐟
"Mollusks, oyster, eastern, farmed, cooked, dry heat",251,🌱
"Mollusks, oyster, eastern, farmed, raw",187,🍤
"Crustaceans, crayfish, mixed species, farmed, raw",625,🦀
"Mollusks, oyster, eastern, wild, cooked, dry heat",321,🌱
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat",737,🦀
"Fish, salmon, Atlantic, farmed, cooked, dry heat",863,🌱
